"team","year","gCoeff","mean_cash","median_cash","top_cash","bot_cash","players_recorded","w","l","t","pct_total","pf","pa","points_ratio","sb_wins_runups"
"49ers",2000,0,3750000,3750000,3750000,3750000,1,6,10,0,0.375,388,422,0.919431279620853,NA
"49ers",2004,0.162810873337189,432250,432250,573000,291500,2,2,14,0,0.125,259,452,0.573008849557522,NA
"49ers",2005,0.557428687418837,1221093.16666667,567250,3500000,27059,6,4,12,0,0.25,239,428,0.558411214953271,NA
"49ers",2006,0.613632746689496,2249666.66666667,585000,9350000,350000,9,7,9,0,0.438,298,412,0.723300970873786,NA
"49ers",2007,0.547727003066356,2519053.78571429,1276250,9820000,360000,14,5,11,0,0.313,219,364,0.601648351648352,NA
"49ers",2008,0.584359899765745,3625717.10526316,1e+06,12250000,370000,19,7,9,0,0.438,339,381,0.889763779527559,NA
"49ers",2009,0.603776102908278,2634550.60869565,940000,12670000,88400,23,8,8,0,0.5,330,281,1.17437722419929,NA
"49ers",2010,0.602733094291835,2940029.53125,1163500,16598000,94118,32,6,10,0,0.375,305,346,0.88150289017341,NA
"49ers",2011,0.511497767962574,2587951.57142857,1404875,9387500,286765,42,13,3,0,0.813,380,229,1.65938864628821,NA
"49ers",2012,0.556925452642036,2512008.17307692,1136281,9250000,45882,52,11,4,1,0.719,397,273,1.45421245421245,2
"49ers",2013,0.568469948883482,1930965.43661972,840844,8380000,0,71,12,4,0,0.75,406,272,1.49264705882353,NA
"49ers",2014,0.610321436923257,1634587.37078652,629895,13073766,6300,89,8,8,0,0.5,306,340,0.9,NA
"49ers",2015,0.64006279379408,1404957.07142857,570838,11925000,6600,84,5,11,0,0.313,238,387,0.614987080103359,NA
"49ers",2016,0.668932705113976,1606868.57446809,627500,14300000,13800,94,2,14,0,0.125,309,480,0.64375,NA
"49ers",2017,0.703326080724285,1685760.88888889,588235,19080912,14400,99,6,10,0,0.375,331,383,0.864229765013055,NA
"49ers",2018,0.721387152918069,2464937.69047619,681500,41950000,15200,84,4,12,0,0.25,342,435,0.786206896551724,NA
"49ers",2019,0.701952581648614,2436659.94382022,663137,22916356,0,89,13,3,0,0.813,479,310,1.54516129032258,2
"49ers",2020,0.722758384910332,2260501.51851852,719765.5,25200000,8400,108,6,10,0,0.375,376,390,0.964102564102564,NA
