"team","year","gCoeff","mean_cash","median_cash","top_cash","bot_cash","players_recorded"
"49ers",1985,0,7e+05,7e+05,7e+05,7e+05,1
"49ers",1986,0,240000,240000,240000,240000,1
"49ers",1987,0.15359477124183,382500,382500,5e+05,265000,2
"49ers",1988,0.0757575757575757,825000,825000,950000,7e+05,2
"49ers",1989,0.0135135135135135,925000,925000,950000,9e+05,2
"49ers",1990,0.0769230769230769,1300000,1300000,1500000,1100000,2
"49ers",1991,0.142857142857143,1540000,1540000,1980000,1100000,2
"49ers",1992,0.0882352941176471,2125000,2125000,2500000,1750000,2
"49ers",1993,0.179012345679012,6075000,6075000,8250000,3900000,2
"49ers",1994,0.362563498946847,2017750,1942000,4025000,162000,4
"49ers",1995,0.147773279352227,3087500,3087500,4e+06,2175000,2
"49ers",1996,0.0558312655086849,5037500,5037500,5600000,4475000,2
"49ers",1997,0.138297872340426,2350000,2350000,3e+06,1700000,2
"49ers",1998,0.155172413793103,7250000,7250000,9500000,5e+06,2
"49ers",1999,0.155339805825243,5150000,5150000,6750000,3550000,2
"49ers",2000,0,3750000,3750000,3750000,3750000,1
"49ers",2004,0.162810873337189,432250,432250,573000,291500,2
"49ers",2005,0.557428687418837,1221093.16666667,567250,3500000,27059,6
"49ers",2006,0.613632746689496,2249666.66666667,585000,9350000,350000,9
"49ers",2007,0.547727003066356,2519053.78571429,1276250,9820000,360000,14
"49ers",2008,0.584359899765745,3625717.10526316,1e+06,12250000,370000,19
"49ers",2009,0.603776102908278,2634550.60869565,940000,12670000,88400,23
"49ers",2010,0.602733094291835,2940029.53125,1163500,16598000,94118,32
"49ers",2011,0.511497767962574,2587951.57142857,1404875,9387500,286765,42
"49ers",2012,0.556925452642036,2512008.17307692,1136281,9250000,45882,52
"49ers",2013,0.568469948883482,1930965.43661972,840844,8380000,0,71
"49ers",2014,0.610321436923257,1634587.37078652,629895,13073766,6300,89
"49ers",2015,0.64006279379408,1404957.07142857,570838,11925000,6600,84
"49ers",2016,0.668932705113976,1606868.57446809,627500,14300000,13800,94
"49ers",2017,0.703326080724285,1685760.88888889,588235,19080912,14400,99
"49ers",2018,0.721387152918069,2464937.69047619,681500,41950000,15200,84
"49ers",2019,0.701952581648614,2436659.94382022,663137,22916356,0,89
"49ers",2020,0.722758384910332,2260501.51851852,719765.5,25200000,8400,108
"Bears",2003,0.220097889262771,1634500,1634500,2354000,915000,2
"Bears",2004,0.0506445672191528,339375,339375,373750,305000,2
"Bears",2005,0.516355140186916,1457875,568250,4315000,380000,4
"Bears",2006,0.290604513169678,812683.333333333,642425,1775000,350000,6
"Bears",2007,0.675539459164616,2314641.45454545,766250,12098000,100588,11
"Bears",2008,0.514282040677666,2735833.61538462,1921000,8805000,370000,13
"Bears",2009,0.600923093638078,3376889.4375,820616,17134999,385000,16
"Bears",2010,0.643172067095675,2517228,1049650,20200000,320000,24
"Bears",2011,0.60222359478348,2004709.59459459,6e+05,11700000,0,37
"Bears",2012,0.580810499833908,1946920.95555556,835200,9800000,0,45
"Bears",2013,0.623661217309012,2331588.95081967,765609,13200000,36000,61
