"year","team","cash_paid","name","position","gCoeff","mean_cash","median_cash","top_cash","bot_cash","players_recorded"
2017,"Chiefs",10551152,"Patrick Mahomes","quarterback",0.697390716125705,1934379.80434783,690000,20900000,0,92
2018,"Chiefs",1211635,"Patrick Mahomes","quarterback",0.666330373088218,2224659.55813953,646691,21800000,0,86
2019,"Chiefs",1958270,"Patrick Mahomes","quarterback",0.645064176238918,2254728.23170732,843919,2e+07,0,82
2020,"Chiefs",10825000,"Patrick Mahomes","quarterback",0.703003584278187,2200582.76744186,750000,24500000,0,86
2016,"Cowboys",833392,"Dak Prescott","quarterback",0.621497816408949,1860209.75294118,750000,16800064,0,85
2017,"Cowboys",540000,"Dak Prescott","quarterback",0.668472760629509,1755070.22891566,624620,14221000,0,83
2018,"Cowboys",630000,"Dak Prescott","quarterback",0.655786387264321,1929361.62962963,705000,2.2e+07,22800,81
2019,"Cowboys",2025000,"Dak Prescott","quarterback",0.68990140824206,2289542.29761905,697500,31100000,16000,84
2020,"Cowboys",31409000,"Dak Prescott","quarterback",0.73010598749989,2546110.19354839,716736,31409000,0,93
2017,"Texans",8680988,"Deshaun Watson","quarterback",0.703647737196547,1561665.78787879,534216,2.4e+07,0,99
2018,"Texans",1094749,"Deshaun Watson","quarterback",0.65234717280301,2243263.73255814,747500,13306000,0,86
2019,"Texans",1724498,"Deshaun Watson","quarterback",0.622645678150333,2342500.83908046,871522,13750000,0,87
2020,"Texans",29354247,"Deshaun Watson","quarterback",0.70446090220846,2753477.04347826,750000,29354247,24000,92
1991,"Falcons",710000,"Brett Favre","quarterback",0.0220588235294117,680000,680000,710000,650000,2
1992,"Packers",335000,"Brett Favre","quarterback",0,335000,335000,335000,335000,1
1993,"Packers",385000,"Brett Favre","quarterback",0.194319206492335,277250,277250,385000,169500,2
1994,"Packers",4600000,"Brett Favre","quarterback",0.469824746343392,2371562.5,2371562.5,4600000,143125,2
1995,"Packers",2900000,"Brett Favre","quarterback",0,2900000,2900000,2900000,2900000,1
1996,"Packers",3600000,"Brett Favre","quarterback",0,3600000,3600000,3600000,3600000,1
1997,"Packers",13600000,"Brett Favre","quarterback",0,13600000,13600000,13600000,13600000,1
1998,"Packers",3100000,"Brett Favre","quarterback",0.451503990178023,1629000,1629000,3100000,158000,2
1999,"Packers",4300000,"Brett Favre","quarterback",0.445054945054945,2275000,2275000,4300000,250000,2
2000,"Packers",5350000,"Brett Favre","quarterback",0,5350000,5350000,5350000,5350000,1
2001,"Packers",15477000,"Brett Favre","quarterback",0,15477000,15477000,15477000,15477000,1
2002,"Packers",2150000,"Brett Favre","quarterback",0.122475856014047,2847500,2847500,3545000,2150000,2
2003,"Packers",5900000,"Brett Favre","quarterback",0.286666666666667,3750000,3750000,5900000,1600000,2
2004,"Packers",8500000,"Brett Favre","quarterback",0.6738278421881,2327353,310000,8500000,189412,4
2005,"Packers",9500000,"Brett Favre","quarterback",0.629980732177264,2595000,515000,9500000,305000,5
2006,"Packers",1e+07,"Brett Favre","quarterback",0.443574855054713,4740318.18181818,3360000,10500000,23500,11
2007,"Packers",1.1e+07,"Brett Favre","quarterback",0.604863339706962,2981033.33333333,1027250,12216250,310000,15
2008,"Jets",1.2e+07,"Brett Favre","quarterback",0.608701526784491,4474045.35714286,1542500,15707500,88400,14
2009,"Vikings",1.2e+07,"Brett Favre","quarterback",0.665177152583544,2308075.6,1e+06,1.2e+07,88400,15
2010,"Vikings",1.6e+07,"Brett Favre","quarterback",0.624729922450797,2822655.47368421,860000,1.6e+07,18824,19
2003,"Bengals",11080000,"Carson Palmer","quarterback",0.473071324599709,4580000,1330000,11080000,1330000,3
2004,"Bengals",3420000,"Carson Palmer","quarterback",0.304703979749684,1777750,1580000,3420000,531000,4
2005,"Bengals",18750000,"Carson Palmer","quarterback",0.609013867488444,5678750,1830000,18750000,305000,4
2006,"Bengals",15750000,"Carson Palmer","quarterback",0.571471732987364,2557590.90909091,915750,15750000,425000,11
2007,"Bengals",7250000,"Carson Palmer","quarterback",0.623307357674754,3487980.28571429,397500,14250000,79900,14
2008,"Bengals",7750000,"Carson Palmer","quarterback",0.57510509390946,2339140.73333333,927000,7750000,152941,15
2009,"Bengals",9500000,"Carson Palmer","quarterback",0.571434725695539,1621348.95,651250,9500000,88400,20
2010,"Bengals",10500000,"Carson Palmer","quarterback",0.575646507275691,1765525.85185185,995000,10500000,75294,27
2011,"Raiders",2500000,"Carson Palmer","quarterback",0.600287252339593,2728381.29411765,1070688,16250000,370588,34
2012,"Raiders",12500000,"Carson Palmer","quarterback",0.640105085474462,1825859.63829787,562973,1.5e+07,0,47
2013,"Cardinals",8e+06,"Carson Palmer","quarterback",0.56905505032384,1684027.44444444,806647.5,13250000,72000,72
2014,"Cardinals",1.9e+07,"Carson Palmer","quarterback",0.672960019070933,1912103.30379747,795000,1.9e+07,12600,79
2015,"Cardinals",10500000,"Carson Palmer","quarterback",0.655665362229152,1704587.68604651,588750,11719114,0,86
2016,"Cardinals",18500000,"Carson Palmer","quarterback",0.711663454136957,1761238.45555556,6e+05,18500000,0,90
2017,"Cardinals",17500000,"Carson Palmer","quarterback",0.702531933954964,1957290.24444444,615000,2.2e+07,7200,90
2005,"Packers",2350000,"Aaron Rodgers","quarterback",0.629980732177264,2595000,515000,9500000,305000,5
2006,"Packers",3360000,"Aaron Rodgers","quarterback",0.443574855054713,4740318.18181818,3360000,10500000,23500,11
2007,"Packers",505000,"Aaron Rodgers","quarterback",0.604863339706962,2981033.33333333,1027250,12216250,310000,15
2008,"Packers",12900000,"Aaron Rodgers","quarterback",0.556259503977983,2288677.77777778,1250250,12900000,370000,18
2009,"Packers",8600000,"Aaron Rodgers","quarterback",0.587493836626586,2781750.20833333,1201875,16275000,313000,24
2010,"Packers",6500000,"Aaron Rodgers","quarterback",0.615420070069498,2868344.02941176,1138500,13043000,23235,34
2011,"Packers",7750000,"Aaron Rodgers","quarterback",0.617828214360861,2383018.89361702,6e+05,10962500,0,47
2012,"Packers",8500000,"Aaron Rodgers","quarterback",0.613132977933414,1754867.79365079,540000,10937500,0,63
2013,"Packers",4e+07,"Aaron Rodgers","quarterback",0.697885537871242,2185149.06493506,630000,4e+07,23824,77
2014,"Packers",10900000,"Aaron Rodgers","quarterback",0.668299359398418,1707800.9625,570000,14937500,12600,80
2015,"Packers",11600000,"Aaron Rodgers","quarterback",0.644244164706929,1980100.68,598791,15100000,26400,75
2016,"Packers",12600000,"Aaron Rodgers","quarterback",0.681950508379622,1821540.58441558,6e+05,16700000,0,77
2017,"Packers",13312500,"Aaron Rodgers","quarterback",0.718306347050124,2056387.56470588,540000,20650000,7200,85
2018,"Packers",66900000,"Aaron Rodgers","quarterback",0.787502805476343,2209146.39130435,555000,66900000,7600,92
2019,"Packers",29260000,"Aaron Rodgers","quarterback",0.707105902062258,3011006.35443038,661056,29260000,40000,79
2020,"Packers",7290000,"Aaron Rodgers","quarterback",0.731045408558023,2359737.36956522,699344,37052942,0,92
1989,"Cowboys",3537000,"Troy Aikman","quarterback",0,3537000,3537000,3537000,3537000,1
1990,"Cowboys",1e+06,"Troy Aikman","quarterback",0.0708154506437768,1165000,1165000,1330000,1e+06,2
1991,"Cowboys",1250000,"Troy Aikman","quarterback",0.266871165644172,815000,815000,1250000,380000,2
1992,"Cowboys",1500000,"Troy Aikman","quarterback",0.263358778625954,982500,982500,1500000,465000,2
1993,"Cowboys",10750000,"Troy Aikman","quarterback",0.105633802816901,8875000,8875000,10750000,7e+06,2
1994,"Cowboys",1750000,"Troy Aikman","quarterback",0.0569620253164557,1975000,1975000,2200000,1750000,2
1995,"Cowboys",3500000,"Troy Aikman","quarterback",0.358883079319168,5992666.66666667,3500000,12078000,2400000,3
1996,"Cowboys",4e+06,"Troy Aikman","quarterback",0.46520746175145,5497666.66666667,4e+06,12001000,492000,3
1997,"Cowboys",4500000,"Troy Aikman","quarterback",0.475864038846044,1945000,1e+06,4500000,335000,3
1998,"Cowboys",5500000,"Troy Aikman","quarterback",0.226673879442546,4292999.66666667,5500000,5878999,1500000,3
1999,"Cowboys",1.6e+07,"Troy Aikman","quarterback",0.30188679245283,8833333.33333333,6500000,1.6e+07,4e+06,3
2000,"Cowboys",2250000,"Troy Aikman","quarterback",0.173913043478261,3450000,3450000,4650000,2250000,2
2012,"Seahawks",1009472,"Russell Wilson","quarterback",0.609843392717529,2270592.45283019,540000,1e+07,5700,53
2013,"Seahawks",526217,"Russell Wilson","quarterback",0.637286277771272,1906475.52857143,555000,14500000,36000,70
2014,"Seahawks",662434,"Russell Wilson","quarterback",0.694149104863801,1588420.97701149,570000,14225000,0,87
