team,w,l,t,pct_total,pf,pa,net pts,home,road,div,pct_div,conf,pct_conf,non-conf,strk,last_five,year
Cardinals,3,13,0,0.188,210,443,-233,3 - 5 - 0,0 - 8 - 0,2 - 6 - 0,0.250,2 - 10 - 0,0.167,1 - 3 - 0,7L,0 - 5 - 0,2000
Cowboys,5,11,0,0.313,294,361,-67,3 - 5 - 0,2 - 6 - 0,3 - 5 - 0,0.375,4 - 8 - 0,0.333,1 - 3 - 0,2L,1 - 4 - 0,2000
Washington,8,8,0,0.500,281,269,12,4 - 4 - 0,4 - 4 - 0,3 - 5 - 0,0.375,6 - 6 - 0,0.500,2 - 2 - 0,1W,1 - 4 - 0,2000
Eagles,11,5,0,0.688,351,245,106,5 - 3 - 0,6 - 2 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,3 - 1 - 0,2W,4 - 1 - 0,2000
Falcons,4,12,0,0.250,252,413,-161,3 - 5 - 0,1 - 7 - 0,3 - 5 - 0,0.375,3 - 9 - 0,0.250,1 - 3 - 0,1W,1 - 4 - 0,2000
49ers,6,10,0,0.375,388,422,-34,4 - 4 - 0,2 - 6 - 0,1 - 7 - 0,0.125,4 - 8 - 0,0.333,2 - 2 - 0,1L,3 - 2 - 0,2000
Panthers,7,9,0,0.438,310,310,0,5 - 3 - 0,2 - 6 - 0,4 - 4 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,1L,3 - 2 - 0,2000
Rams,10,6,0,0.625,540,471,69,5 - 3 - 0,5 - 3 - 0,5 - 3 - 0,0.625,7 - 5 - 0,0.583,3 - 1 - 0,1W,2 - 3 - 0,2000
Saints,10,6,0,0.625,354,305,49,3 - 5 - 0,7 - 1 - 0,7 - 1 - 0,0.875,9 - 3 - 0,0.750,1 - 3 - 0,1L,3 - 2 - 0,2000
Bears,5,11,0,0.313,216,355,-139,3 - 5 - 0,2 - 6 - 0,3 - 5 - 0,0.375,3 - 9 - 0,0.250,2 - 2 - 0,1W,2 - 3 - 0,2000
Lions,9,7,0,0.563,307,307,0,4 - 4 - 0,5 - 3 - 0,3 - 5 - 0,0.375,7 - 5 - 0,0.583,2 - 2 - 0,1L,2 - 3 - 0,2000
Buccaneers,10,6,0,0.625,388,269,119,6 - 2 - 0,4 - 4 - 0,4 - 4 - 0,0.500,7 - 5 - 0,0.583,3 - 1 - 0,1L,4 - 1 - 0,2000
Packers,9,7,0,0.563,353,323,30,6 - 2 - 0,3 - 5 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,1 - 3 - 0,4W,4 - 1 - 0,2000
Vikings,11,5,0,0.688,397,371,26,7 - 1 - 0,4 - 4 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,3 - 1 - 0,3L,2 - 3 - 0,2000
Chargers,1,15,0,0.063,269,440,-171,1 - 7 - 0,0 - 8 - 0,1 - 7 - 0,0.125,1 - 11 - 0,0.083,0 - 4 - 0,4L,1 - 4 - 0,2000
Seahawks,6,10,0,0.375,320,405,-85,3 - 5 - 0,3 - 5 - 0,3 - 5 - 0,0.375,4 - 8 - 0,0.333,2 - 2 - 0,1L,2 - 3 - 0,2000
Chiefs,7,9,0,0.438,355,354,1,5 - 3 - 0,2 - 6 - 0,5 - 3 - 0,0.625,5 - 7 - 0,0.417,2 - 2 - 0,1L,2 - 3 - 0,2000
Broncos,11,5,0,0.688,485,369,116,6 - 2 - 0,5 - 3 - 0,6 - 2 - 0,0.750,8 - 4 - 0,0.667,3 - 1 - 0,1W,4 - 1 - 0,2000
Raiders,12,4,0,0.750,479,299,180,7 - 1 - 0,5 - 3 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,4 - 0 - 0,1W,3 - 2 - 0,2000
Browns,3,13,0,0.188,161,419,-258,2 - 6 - 0,1 - 7 - 0,2 - 8 - 0,0.200,3 - 10 - 0,0.231,0 - 3 - 0,5L,0 - 5 - 0,2000
Bengals,4,12,0,0.250,185,359,-174,3 - 5 - 0,1 - 7 - 0,2 - 8 - 0,0.200,3 - 10 - 0,0.231,1 - 2 - 0,1L,2 - 3 - 0,2000
Jaguars,7,9,0,0.438,367,327,40,4 - 4 - 0,3 - 5 - 0,5 - 5 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,2L,3 - 2 - 0,2000
Steelers,9,7,0,0.563,321,255,66,4 - 4 - 0,5 - 3 - 0,5 - 5 - 0,0.500,8 - 5 - 0,0.615,1 - 2 - 0,2W,4 - 1 - 0,2000
Titans,13,3,0,0.813,346,191,155,7 - 1 - 0,6 - 2 - 0,8 - 2 - 0,0.800,9 - 3 - 0,0.750,4 - 0 - 0,4W,4 - 1 - 0,2000
Ravens,12,4,0,0.750,333,165,168,6 - 2 - 0,6 - 2 - 0,8 - 2 - 0,0.800,10 - 3 - 0,0.769,2 - 1 - 0,7W,5 - 0 - 0,2000
Patriots,5,11,0,0.313,276,338,-62,3 - 5 - 0,2 - 6 - 0,2 - 6 - 0,0.250,5 - 7 - 0,0.417,0 - 4 - 0,1L,2 - 3 - 0,2000
Bills,8,8,0,0.500,315,350,-35,5 - 3 - 0,3 - 5 - 0,2 - 6 - 0,0.250,6 - 6 - 0,0.500,2 - 2 - 0,1W,1 - 4 - 0,2000
Jets,9,7,0,0.563,321,321,0,5 - 3 - 0,4 - 4 - 0,6 - 2 - 0,0.750,6 - 6 - 0,0.500,3 - 1 - 0,3L,2 - 3 - 0,2000
Colts,10,6,0,0.625,429,326,103,6 - 2 - 0,4 - 4 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,2 - 2 - 0,3W,3 - 2 - 0,2000
Dolphins,11,5,0,0.688,323,226,97,5 - 3 - 0,6 - 2 - 0,5 - 3 - 0,0.625,9 - 3 - 0,0.750,2 - 2 - 0,1W,3 - 2 - 0,2000
Cardinals,7,9,0,0.438,295,343,-48,3 - 5 - 0,4 - 4 - 0,2 - 6 - 0,0.250,4 - 8 - 0,0.333,3 - 1 - 0,1L,2 - 3 - 0,2001
Cowboys,5,11,0,0.313,246,338,-92,4 - 4 - 0,1 - 7 - 0,4 - 4 - 0,0.500,5 - 7 - 0,0.417,0 - 4 - 0,1L,2 - 3 - 0,2001
Giants,7,9,0,0.438,294,321,-27,5 - 3 - 0,2 - 6 - 0,4 - 4 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,2L,2 - 3 - 0,2001
Washington,8,8,0,0.500,256,303,-47,4 - 4 - 0,4 - 4 - 0,4 - 4 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,2W,3 - 2 - 0,2001
Panthers,1,15,0,0.063,253,410,-157,0 - 8 - 0,1 - 7 - 0,0 - 8 - 0,0.000,1 - 11 - 0,0.083,0 - 4 - 0,15L,0 - 5 - 0,2001
Saints,7,9,0,0.438,333,409,-76,3 - 5 - 0,4 - 4 - 0,4 - 4 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,4L,1 - 4 - 0,2001
Falcons,7,9,0,0.438,291,377,-86,3 - 5 - 0,4 - 4 - 0,3 - 5 - 0,0.375,6 - 6 - 0,0.500,1 - 3 - 0,2L,1 - 4 - 0,2001
49ers,12,4,0,0.750,409,282,127,7 - 1 - 0,5 - 3 - 0,6 - 2 - 0,0.750,8 - 4 - 0,0.667,4 - 0 - 0,1W,3 - 2 - 0,2001
Rams,14,2,0,0.875,503,273,230,6 - 2 - 0,8 - 0 - 0,7 - 1 - 0,0.875,10 - 2 - 0,0.833,4 - 0 - 0,6W,5 - 0 - 0,2001
Lions,2,14,0,0.125,270,424,-154,2 - 6 - 0,0 - 8 - 0,1 - 7 - 0,0.125,2 - 10 - 0,0.167,0 - 4 - 0,1W,2 - 3 - 0,2001
Vikings,5,11,0,0.313,290,390,-100,5 - 3 - 0,0 - 8 - 0,3 - 5 - 0,0.375,4 - 8 - 0,0.333,1 - 3 - 0,4L,1 - 4 - 0,2001
Buccaneers,9,7,0,0.563,324,280,44,5 - 3 - 0,4 - 4 - 0,4 - 4 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,1L,3 - 2 - 0,2001
Packers,12,4,0,0.750,390,266,124,7 - 1 - 0,5 - 3 - 0,6 - 2 - 0,0.750,9 - 3 - 0,0.750,3 - 1 - 0,3W,4 - 1 - 0,2001
Bears,13,3,0,0.813,338,203,135,7 - 1 - 0,6 - 2 - 0,6 - 2 - 0,0.750,10 - 2 - 0,0.833,3 - 1 - 0,4W,4 - 1 - 0,2001
Bills,3,13,0,0.188,265,420,-155,1 - 7 - 0,2 - 6 - 0,1 - 7 - 0,0.125,2 - 10 - 0,0.167,1 - 3 - 0,1L,2 - 3 - 0,2001
Colts,6,10,0,0.375,413,486,-73,3 - 5 - 0,3 - 5 - 0,3 - 5 - 0,0.375,5 - 7 - 0,0.417,1 - 3 - 0,1W,2 - 3 - 0,2001
Jets,10,6,0,0.625,308,295,13,3 - 5 - 0,7 - 1 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,2 - 2 - 0,1W,3 - 2 - 0,2001
Patriots,11,5,0,0.688,371,272,99,6 - 2 - 0,5 - 3 - 0,6 - 2 - 0,0.750,8 - 4 - 0,0.667,3 - 1 - 0,6W,5 - 0 - 0,2001
Dolphins,11,5,0,0.688,344,290,54,7 - 1 - 0,4 - 4 - 0,5 - 3 - 0,0.625,9 - 3 - 0,0.750,2 - 2 - 0,2W,3 - 2 - 0,2001
Chargers,5,11,0,0.313,332,321,11,4 - 4 - 0,1 - 7 - 0,1 - 7 - 0,0.125,3 - 9 - 0,0.250,2 - 2 - 0,9L,0 - 5 - 0,2001
Chiefs,6,10,0,0.375,320,344,-24,3 - 5 - 0,3 - 5 - 0,4 - 4 - 0,0.500,5 - 7 - 0,0.417,1 - 3 - 0,1L,3 - 2 - 0,2001
Broncos,8,8,0,0.500,340,339,1,6 - 2 - 0,2 - 6 - 0,4 - 4 - 0,0.500,5 - 7 - 0,0.417,3 - 1 - 0,1L,2 - 3 - 0,2001
Raiders,10,6,0,0.625,399,327,72,5 - 3 - 0,5 - 3 - 0,6 - 2 - 0,0.750,7 - 5 - 0,0.583,3 - 1 - 0,3L,2 - 3 - 0,2001
Seahawks,9,7,0,0.563,301,324,-23,6 - 2 - 0,3 - 5 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,1 - 3 - 0,2W,3 - 2 - 0,2001
Titans,7,9,0,0.438,336,388,-52,3 - 5 - 0,4 - 4 - 0,3 - 7 - 0,0.300,4 - 8 - 0,0.333,3 - 1 - 0,2L,2 - 3 - 0,2001
Bengals,6,10,0,0.375,226,309,-83,4 - 4 - 0,2 - 6 - 0,4 - 6 - 0,0.400,5 - 8 - 0,0.385,1 - 2 - 0,2W,2 - 3 - 0,2001
Jaguars,6,10,0,0.375,294,286,8,3 - 5 - 0,3 - 5 - 0,5 - 5 - 0,0.500,5 - 8 - 0,0.385,1 - 2 - 0,2L,3 - 2 - 0,2001
Browns,7,9,0,0.438,285,319,-34,4 - 4 - 0,3 - 5 - 0,5 - 5 - 0,0.500,6 - 7 - 0,0.462,1 - 2 - 0,1L,1 - 4 - 0,2001
Ravens,10,6,0,0.625,303,265,38,6 - 2 - 0,4 - 4 - 0,6 - 4 - 0,0.600,8 - 4 - 0,0.667,2 - 2 - 0,1W,3 - 2 - 0,2001
Steelers,13,3,0,0.813,352,212,140,7 - 1 - 0,6 - 2 - 0,7 - 3 - 0,0.700,10 - 3 - 0,0.769,3 - 0 - 0,1W,4 - 1 - 0,2001
Cardinals,5,11,0,0.313,262,417,-155,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,0 - 4 - 0,3L,1 - 4 - 0,2002
Rams,7,9,0,0.438,316,369,-53,6 - 2 - 0,1 - 7 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,2 - 2 - 0,1W,2 - 3 - 0,2002
Seahawks,7,9,0,0.438,355,369,-14,3 - 5 - 0,4 - 4 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 2 - 0,3W,3 - 2 - 0,2002
49ers,10,6,0,0.625,367,351,16,5 - 3 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 2 - 0,1L,3 - 2 - 0,2002
Lions,3,13,0,0.188,306,451,-145,3 - 5 - 0,0 - 8 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,0 - 4 - 0,8L,0 - 5 - 0,2002
